pair_id,name_a,name_b,label,category,notes
1,Suresh Kumar,Suresh Kumar,match,IDENTICAL,exact duplicate
2,Priya Sharma,priya sharma,match,IDENTICAL,case only
3,Anjali Verma,Anjali  Verma,match,IDENTICAL,extra whitespace
4,Rajesh Gupta,"Rajesh, Gupta",match,IDENTICAL,comma noise
5,Meena Nair,MEENA NAIR,match,IDENTICAL,all caps
6,Vikram Singh,Vikram Singh.,match,IDENTICAL,trailing period
7,Deepak Rao,Deepak Rao ,match,IDENTICAL,trailing space
8,Sunita Joshi,Sunita Joshi,match,IDENTICAL,control duplicate
9,S. Kumar,Suresh Kumar,match,INITIALS,
10,R. Sharma,Rakesh Sharma,match,INITIALS,
11,A. K. Verma,Anil Kumar Verma,match,INITIALS,both given names initialed
12,P. Reddy,Padma Reddy,match,INITIALS,
13,M. Iyer,Meera Iyer,match,INITIALS,
14,V. Singh,Vikas Singh,match,INITIALS,
15,K. Nair,Kavya Nair,match,INITIALS,
16,Suresh K.,Suresh Kumar,match,INITIALS,surname initialed instead
17,D. Patel,Dinesh Patel,match,INITIALS,
18,N. Rao,Nirmala Rao,match,INITIALS,
19,J. Mehta,Jayesh Mehta,match,INITIALS,
20,S.K. Gupta,Sunil Kumar Gupta,match,INITIALS,both middle+given initialed
21,A. Reddy,Anitha Reddy,match,INITIALS,
22,R.K. Singh,Ramesh Kumar Singh,match,INITIALS,
23,Sharma Rakesh,Rakesh Sharma,match,ORDER,
24,Reddy Padma,Padma Reddy,match,ORDER,
25,Nair Meera,Meera Nair,match,ORDER,
26,Verma Anil Kumar,Anil Kumar Verma,match,ORDER,3-token reorder
27,Singh Vikas,Vikas Singh,match,ORDER,
28,Iyer Krishnan,Krishnan Iyer,match,ORDER,
29,Gupta Sunil,Sunil Gupta,match,ORDER,
30,Rao Nirmala,Nirmala Rao,match,ORDER,
31,Patel Dinesh,Dinesh Patel,match,ORDER,
32,Joshi Sunita,Sunita Joshi,match,ORDER,
33,Mehta Jayesh,Jayesh Mehta,match,ORDER,
34,Kumar Suresh,Suresh Kumar,match,ORDER,
35,Mohammed Farooq,Mohammad Farooq,match,TRANSLIT,
36,Mohammed Farooq,Muhammad Farooq,match,TRANSLIT,
37,Mohammad Yusuf,Muhammad Yousuf,match,TRANSLIT,
38,Lakshmi Devi,Laxmi Devi,match,TRANSLIT,
39,Shiva Kumar,Siva Kumar,match,TRANSLIT,
40,Krishnan Nair,Krishnann Nair,match,TRANSLIT,doubled consonant
41,Sunita Kumari,Suneeta Kumari,match,TRANSLIT,
42,Zakir Hussain,Zakir Hussein,match,TRANSLIT,
43,Aisha Begum,Ayesha Begum,match,TRANSLIT,
44,Farhan Sheikh,Farhaan Shaikh,match,TRANSLIT,both tokens vary
45,Rukmini Devi,Rukmani Devi,match,TRANSLIT,
46,Chandran Pillai,Chandran Pillay,match,TRANSLIT,
47,Yasmin Sultana,Yasmeen Sultana,match,TRANSLIT,
48,Abdul Kareem,Abdul Karim,match,TRANSLIT,
49,Kondapalli,Kondapally,match,TRANSLIT,"user-contributed: surname spelling variant, same pronunciation"
50,Vidya Balan,Vidhya Balan,match,TRANSLIT,"corrected: user flagged this as a real spelling variant, not two different people -- originally mislabeled as NEAR_DUP"
51,Naveen Reddy,Naveen Reddi,match,TRANSLIT,corrected: Reddy/Reddi are both legitimate spellings of the same surname -- originally mislabeled as NEAR_DUP
52,Anil Kumar Sharma,Anil Sharma,match,MIDDLE,middle name dropped
53,Ramesh S/O Krishna Murthy,Ramesh Krishna Murthy,match,MIDDLE,S/O particle only
