matcher,pair_id,name_a,name_b,label,category,predicted,score
exact_normalized,9,S. Kumar,Suresh Kumar,match,INITIALS,non_match,0.0
exact_normalized,10,R. Sharma,Rakesh Sharma,match,INITIALS,non_match,0.0
exact_normalized,11,A. K. Verma,Anil Kumar Verma,match,INITIALS,non_match,0.0
exact_normalized,12,P. Reddy,Padma Reddy,match,INITIALS,non_match,0.0
exact_normalized,13,M. Iyer,Meera Iyer,match,INITIALS,non_match,0.0
exact_normalized,14,V. Singh,Vikas Singh,match,INITIALS,non_match,0.0
exact_normalized,15,K. Nair,Kavya Nair,match,INITIALS,non_match,0.0
exact_normalized,16,Suresh K.,Suresh Kumar,match,INITIALS,non_match,0.0
exact_normalized,17,D. Patel,Dinesh Patel,match,INITIALS,non_match,0.0
exact_normalized,18,N. Rao,Nirmala Rao,match,INITIALS,non_match,0.0
exact_normalized,19,J. Mehta,Jayesh Mehta,match,INITIALS,non_match,0.0
exact_normalized,20,S.K. Gupta,Sunil Kumar Gupta,match,INITIALS,non_match,0.0
exact_normalized,21,A. Reddy,Anitha Reddy,match,INITIALS,non_match,0.0
exact_normalized,22,R.K. Singh,Ramesh Kumar Singh,match,INITIALS,non_match,0.0
exact_normalized,35,Mohammed Farooq,Mohammad Farooq,match,TRANSLIT,non_match,0.0
exact_normalized,36,Mohammed Farooq,Muhammad Farooq,match,TRANSLIT,non_match,0.0
exact_normalized,37,Mohammad Yusuf,Muhammad Yousuf,match,TRANSLIT,non_match,0.0
exact_normalized,38,Lakshmi Devi,Laxmi Devi,match,TRANSLIT,non_match,0.0
exact_normalized,39,Shiva Kumar,Siva Kumar,match,TRANSLIT,non_match,0.0
exact_normalized,40,Krishnan Nair,Krishnann Nair,match,TRANSLIT,non_match,0.0
exact_normalized,41,Sunita Kumari,Suneeta Kumari,match,TRANSLIT,non_match,0.0
exact_normalized,42,Zakir Hussain,Zakir Hussein,match,TRANSLIT,non_match,0.0
exact_normalized,43,Aisha Begum,Ayesha Begum,match,TRANSLIT,non_match,0.0
exact_normalized,44,Farhan Sheikh,Farhaan Shaikh,match,TRANSLIT,non_match,0.0
exact_normalized,45,Rukmini Devi,Rukmani Devi,match,TRANSLIT,non_match,0.0
exact_normalized,46,Chandran Pillai,Chandran Pillay,match,TRANSLIT,non_match,0.0
exact_normalized,47,Yasmin Sultana,Yasmeen Sultana,match,TRANSLIT,non_match,0.0
exact_normalized,48,Abdul Kareem,Abdul Karim,match,TRANSLIT,non_match,0.0
