matcher,threshold,tp,fp,fn,tn,precision,recall,f0.5,false_accept_rate
token_fuzzy,70,91,27,9,21,0.7712,0.91,0.7955,0.5625
token_fuzzy,75,85,27,15,21,0.7589,0.85,0.7755,0.5625
token_fuzzy,78,77,27,23,21,0.7404,0.77,0.7461,0.5625
token_fuzzy,80,75,25,25,23,0.75,0.75,0.75,0.5208
token_fuzzy,82,73,21,27,27,0.7766,0.73,0.7668,0.4375
token_fuzzy,85,69,14,31,34,0.8313,0.69,0.7986,0.2917
token_fuzzy,88,66,11,34,37,0.8571,0.66,0.8088,0.2292
token_fuzzy,90,62,8,38,40,0.8857,0.62,0.8158,0.1667
token_fuzzy,92,55,4,45,44,0.9322,0.55,0.8185,0.0833
token_fuzzy,95,45,2,55,46,0.9574,0.45,0.7812,0.0417
phonetic,0.5,91,37,9,11,0.7109,0.91,0.7435,0.7708
phonetic,0.6,67,8,33,40,0.8933,0.67,0.8375,0.1667
phonetic,0.7,59,2,41,46,0.9672,0.59,0.8576,0.0417
phonetic,0.75,59,2,41,46,0.9672,0.59,0.8576,0.0417
phonetic,0.8,59,2,41,46,0.9672,0.59,0.8576,0.0417
phonetic,0.85,59,2,41,46,0.9672,0.59,0.8576,0.0417
phonetic,0.9,59,2,41,46,0.9672,0.59,0.8576,0.0417
phonetic,1.0,59,2,41,46,0.9672,0.59,0.8576,0.0417
hybrid_rule,0.55,98,14,2,34,0.875,0.98,0.8942,0.2917
hybrid_rule,0.6,98,13,2,35,0.8829,0.98,0.9007,0.2708
hybrid_rule,0.65,98,12,2,36,0.8909,0.98,0.9074,0.25
hybrid_rule,0.7,96,7,4,41,0.932,0.96,0.9375,0.1458
hybrid_rule,0.75,96,7,4,41,0.932,0.96,0.9375,0.1458
hybrid_rule,0.8,93,7,7,41,0.93,0.93,0.93,0.1458
hybrid_rule,0.85,89,7,11,41,0.9271,0.89,0.9194,0.1458
hybrid_rule,0.9,84,7,16,41,0.9231,0.84,0.9052,0.1458
